span_id,study_id,span_type,lo,hi,unit,kind,label,open_end,basis,sd
cov2416-S01,cov2416,size,25,5000,µm,observed,Overall reported range,,,
cov2418-S01,cov2418,size,50,5000,µm,operational,Visual size bins,,,
cov2428-S01,cov2428,size,159,4915,µm,observed,Microplastics,,,
cov2428-S02,cov2428,size,5031,13069,µm,observed,Mesoplastics,,,
cov2439-S01,cov2439,size,1,5,µm,reference,Polymer A,,,
cov2439-S02,cov2439,size,40,47,µm,reference,Polymer B,,,
cov2443-S01,cov2443,size,1.0,15.0,µm,observed,Reported range,,,
cov2451-S01,cov2451,size,70,2150,µm,observed,Particle length,,,
cov2451-S02,cov2451,size,120,4190,µm,observed,Fiber length,,,
cov2470-S01,cov2470,size,30,1312,µm,observed,Lung,,,
cov2470-S02,cov2470,size,24,1119,µm,observed,Gut contents,,,
cov2487-S01,cov2487,size,16,4670,µm,observed,Overall,,,
cov2522-S01,cov2522,size,15.0,500.0,µm,observed,Reported range,,,
cov2543-S01,cov2543,size,100,100,µm,operational,<100,left,,
cov2543-S02,cov2543,size,101,1000,µm,operational,Size bin,,,
cov2543-S03,cov2543,size,1000,1000,µm,operational,>1000,right,,
cov2555-S01,cov2555,size,40.0,4940.0,µm,observed,Reported range,,,
cov2568-S01,cov2568,size,2,3619,µm,observed,Maximum length,,,
cov2568-S02,cov2568,size,0.477,1757.5,µm,observed,Maximum width,,,
cov2587-S01,cov2587,size,0.05,1,µm,reference,Nominal material size,,,
cov2587-S02,cov2587,size,0.084,1.63,µm,summary,Range of mean DLS sizes across treatments,,,
cov2609-S01,cov2609,size,0.015,0.1,µm,reference,Nominal material size,,,
cov2630-S01,cov2630,size,0.7,9.17,µm,summary,Dw by formulation,,,
cov2630-S02,cov2630,size,0.72,9.19,µm,summary,Dn by formulation,,,
cov2659-S01,cov2659,size,63,63,µm,reference,<63 sieved fraction,left,,
cov2659-S02,cov2659,size,63,125,µm,reference,Sieved material; post-sonication quantiles separate,,,
cov2659-M01,cov2659,mass,4,22,µg/individual,observed,"P3HB, 125 µm fraction",,unspecified,
cov2659-M02,cov2659,mass,3,34,µg/individual,observed,"P3HB, 63 µm fraction",,unspecified,
cov2670-S01,cov2670,size,200.0,4900.0,µm,observed,Reported range,,,
cov2671-S01,cov2671,size,40,48,µm,reference,Supplier size,,,
cov2671-S02,cov2671,size,0.02,0.15,µm,observed,AFM feature height; not particle diameter,,,
cov2673-S01,cov2673,size,2.93,2.93,µm,summary,ICP-derived mean diameter,,,
cov2673-S02,cov2673,size,2.97,2.97,µm,summary,STEM mean diameter,,,
cov2704-S01,cov2704,size,20,500,µm,operational,LDIR acceptance range,,,
cov2706-S01,cov2706,size,0.89,6455.91,µm,observed,Reported range,,,
cov2780-S01,cov2780,size,500,500,µm,operational,<500,left,,
cov2780-S02,cov2780,size,500,5000,µm,operational,Size bin,,,
cov2790-S01,cov2790,size,1.2,1.2,µm,observed,Figure-caption value,,,
cov2790-S02,cov2790,size,1.3,1.3,µm,observed,Figure-caption value,,,
cov2790-S03,cov2790,size,1.5,1.5,µm,observed,Figure-caption value,,,
cov1648-S01,cov1648,size,50,5000,µm,operational,Three operational fractions,,,
cov2803-S01,cov2803,size,500.0,4000.0,µm,observed,Reported range,,,
cov2806-S01,cov2806,size,500,500,µm,observed,Only <500 specified,left,,
cov1208-S01,cov1208,size,0.098,0.505,µm,reference,TEM model nanoparticles,,,
cov2816-S01,cov2816,size,50.0,4400.0,µm,observed,Reported range,,,
cov2823-S01,cov2823,size,0.05,0.35,µm,reference,Au-PE/PVC,,,
cov2823-S02,cov2823,size,0.1,0.4,µm,reference,Au-PP,,,
cov2846-S01,cov2846,size,279.0,4657.0,µm,observed,Reported range,,,
cov2881-S01,cov2881,size,1000,5000,µm,operational,Four size bins,,,
cov2900-S01,cov2900,size,5,5000,µm,operational,Size bins,,,
cov2939-S01,cov2939,size,30,4000,µm,observed,All measured objects,,,
cov2939-S02,cov2939,size,150,1500,µm,observed,Raman fibers,,,
cov2939-S03,cov2939,size,50,1000,µm,observed,Raman fragments,,,
cov2969-S01,cov2969,size,300.0,5000.0,µm,observed,Reported range,,,
cov3019-S01,cov3019,size,10.0,9080.0,µm,observed,Reported range,,,
cov3111-S01,cov3111,size,0.05,0.35,µm,reference,SEM plastic particles; gold-equivalent diameter excluded,,,
cov3238-S01,cov3238,size,19.0,1000.0,µm,observed,Reported range,,,
cov3269-S01,cov3269,size,100,5000,µm,operational,Three fractions,,,
cov3382-S01,cov3382,size,28.86,4993.24,µm,observed,Reported range,,,
cov3396-S01,cov3396,size,0.097,0.097,µm,reference,Mean PS nanosphere diameter,,,
cov3396-S02,cov3396,size,500,500,µm,reference,Approximate larger microplastic standard size,,,
cov3402-S01,cov3402,size,50,500,µm,operational,Three fractions,,,
cov3443-S01,cov3443,size,50,50,µm,operational,Coral: <50 excluded,right,,
cov3499-S01,cov3499,size,100,5000,µm,observed,Upper bound >5000; exact value unknown,right,,
cov3514-S01,cov3514,size,100,100,µm,operational,Sieving size,,,
cov3514-S02,cov3514,size,120,120,µm,operational,Sieving size,,,
cov3514-S03,cov3514,size,170,170,µm,operational,Sieving size,,,
cov3517-S01,cov3517,size,300.0,6000.0,µm,observed,Reported range,,,
cov3599-S01,cov3599,size,11.66,728.66,µm,observed,Detailed results; abstract range differs,,,
cov3661-S01,cov3661,size,102.0,5000.0,µm,observed,Reported range,,,
cov3714-S01,cov3714,size,1000,5000,µm,observed,Field seafood samples,,,
cov3714-S02,cov3714,size,10,90,µm,reference,Experimental PE,,,
cov3727-S01,cov3727,size,20,1000,µm,observed,Fiber length,,,
cov3727-S02,cov3727,size,10,75,µm,observed,Fiber diameter,,,
cov3727-S03,cov3727,size,800,800,µm,observed,Representative PA fragment length,,,
cov3730-S01,cov3730,size,0.025,0.025,µm,reference,Nominal PS size,,,
cov3730-S02,cov3730,size,1,1,µm,reference,Nominal PS size,,,
cov3741-S01,cov3741,size,2.0,5000.0,µm,observed,Reported range,,,
cov3793-S01,cov3793,size,1000,5000,µm,operational,Visually measured range,,,
cov3810-S01,cov3810,size,25,360,µm,observed,Field particles,,,
cov3810-S02,cov3810,size,125,125,µm,reference,Nominal exposure material size,,,
cov3820-S01,cov3820,size,160.0,2450.0,µm,observed,Reported range,,,
cov3831-S01,cov3831,size,25,3000,µm,observed,Upper bound >3000; exact value unknown,right,,
cov3853-S01,cov3853,size,618,618,µm,summary,Mean polyester length,,,
cov3853-S02,cov3853,size,566,566,µm,summary,Mean PA length,,,
cov3853-S03,cov3853,size,412,412,µm,summary,Mean cotton length; non-plastic,,,
cov3867-S01,cov3867,size,6.4,41,µm,observed,PS in sperm samples,,,
cov3867-S02,cov3867,size,4.1,560,µm,observed,Simulated release experiment,,,
cov3868-S01,cov3868,size,1,1,µm,reference,PS microspheres,,,
cov3868-S02,cov3868,size,256.9,256.9,µm,observed,PP fibers in natural samples,,,
cov3868-S03,cov3868,size,492.6,492.6,µm,observed,PE fibers in natural samples,,,
cov3985-S01,cov3985,size,35,1020,µm,observed,Optical length,,,
cov3985-S02,cov3985,size,20,283,µm,observed,Optical width,,,
cov3985-S03,cov3985,size,1,1,µm,operational,TEM <1 category; exact size unspecified,left,,
cov4078-S01,cov4078,size,970,970,µm,summary,Mean length in diseased sponges,,,
cov4078-S02,cov4078,size,1210,1210,µm,summary,Mean length in healthy sponges,,,
cov4348-S01,cov4348,size,12.0,5700.0,µm,observed,Reported range,,,
cov4364-S01,cov4364,size,137.5,4896,µm,reference,Prepared HDPE,,,
cov4364-S02,cov4364,size,228.1,1985.4,µm,observed,Detected blue HDPE,,,
cov4364-S03,cov4364,size,280.3,2336.7,µm,observed,Detected pink HDPE,,,
cov4596-S01,cov4596,size,0.25,0.25,µm,reference,Nominal diameter,,,
cov4597-S01,cov4597,size,33.0,4860.0,µm,observed,Reported range,,,
cov4598-S01,cov4598,size,0.1,1,µm,reference,Nominal material size,,,
cov4599-S01,cov4599,size,1.6,5.56,µm,observed,Fragments; includes natural polymers,,,
cov4599-S02,cov4599,size,8.12,16.8,µm,observed,Fibers; includes natural polymers,,,
cov4600-S01,cov4600,size,100.0,3500.0,µm,observed,Reported range,,,
cov4602-S01,cov4602,size,140.0,9960.0,µm,observed,Reported range,,,
cov4604-S01,cov4604,size,4.0,149.0,µm,observed,Reported range,,,
cov4605-S01,cov4605,size,3400.0,158000.0,µm,observed,Reported range,,,
cov4606-S01,cov4606,size,110.0,72000.0,µm,observed,Reported range,,,
cov4607-S01,cov4607,size,34.0,5016.0,µm,observed,Reported range,,,
cov4608-S01,cov4608,size,20,500,µm,operational,LDIR acceptance window,,,
cov4610-S01,cov4610,size,500,5000,µm,reference,Method-test material,,,
cov4611-S01,cov4611,size,60.0,10530.0,µm,observed,Reported range,,,
cov4612-S01,cov4612,size,500,500,µm,operational,<500,left,,
cov4612-S02,cov4612,size,500,1500,µm,operational,Size bin,,,
cov4612-S03,cov4612,size,1500,1500,µm,operational,>1500,right,,
cov4614-S01,cov4614,size,0.2,10,µm,reference,Reference material in water,,,
cov4614-S02,cov4614,size,1,1,µm,reference,PS in fish tissue,,,
cov4614-S03,cov4614,size,6,6,µm,reference,PS/PMMA in fish tissue,,,
cov4615-S01,cov4615,size,1095,1095,µm,summary,Mean fiber length,,,
cov4615-S02,cov4615,size,130.9,130.9,µm,summary,Mean fragment width,,,
cov4618-S01,cov4618,size,5,500,µm,reference,Exposure PET,,,
cov4618-S02,cov4618,size,117,117,µm,summary,Mean length of detected PET,,,
cov4618-S03,cov4618,size,82,82,µm,summary,Mean width of detected PET,,,
cov4618-S04,cov4618,size,3462,3462,µm,observed,Fibers,,,
cov4618-S05,cov4618,size,3861,3861,µm,observed,Fibers,,,
cov4619-S01,cov4619,size,63,3000,µm,reference,Validation material,,,
cov4620-S01,cov4620,size,2,36,µm,observed,Fiber diameter,,,
cov4620-S02,cov4620,size,500,6000,µm,observed,Fiber length,,,
cov4623-S01,cov4623,size,30,80,µm,reference,Standards; tissue particles not sized,,,
cov4623-M01,cov4623,mass,0.16,1.71,µg/g,observed,Result by polymer / site; mg/kg = µg/g,,dry,
cov4627-S01,cov4627,size,12.0,5000.0,µm,observed,Reported range,,,
cov4628-S01,cov4628,size,20,5000,µm,operational,Classification window,,,
cov4628-S02,cov4628,size,46,1483,µm,observed,Raman subset,,,
cov4630-S01,cov4630,size,100.0,42000.0,µm,observed,Reported range,,,
cov4631-S01,cov4631,size,210,5020,µm,observed,Microplastic range; additional larger particles,,,
cov4632-S01,cov4632,size,22.0,4900.0,µm,observed,Reported range,,,
cov4633-S01,cov4633,size,25,25,µm,operational,≤25 size bin,left,,
cov4633-S02,cov4633,size,1000,2000,µm,operational,Highest size bin,,,
cov4633-M01,cov4633,mass,1.67,302.09,µg/g,estimated,Pooled-species combustion estimate; mg/kg = µg/g,,unspecified,
cov4634-S01,cov4634,size,50,50,µm,operational,<50,left,,
cov4634-S02,cov4634,size,5000,5000,µm,operational,>5000,right,,
cov4636-S01,cov4636,size,0.015,0.018,µm,reference,Smallest exposure material,,,
cov4636-S02,cov4636,size,400,400,µm,reference,Approximate larger exposure material size,,,
cov4636-S03,cov4636,size,1,1,µm,observed,PS detected in tissue,,,
cov4636-S04,cov4636,size,20,20,µm,observed,PS/PMMA detected in tissues / excreta,,,
cov4638-S01,cov4638,size,1630,1630,µm,observed,Confirmed PET fiber length,,,
cov4638-S02,cov4638,size,10,10,µm,observed,Width of the same fiber,,,
cov4639-S01,cov4639,size,13.0,8000.0,µm,observed,Reported range,,,
cov4645-S01,cov4645,size,10.0,5000.0,µm,observed,Reported range,,,
cov4646-S01,cov4646,size,63,600,µm,reference,Sieved fragments; other shape sizes unknown,,,
cov4648-S01,cov4648,size,5,50,µm,reference,PA6 standard,,,
cov4648-S02,cov4648,size,40,48,µm,reference,PE standard,,,
cov4648-M01,cov4648,mass,760,760,µg/g,summary,PA mean in PA group; converted mg/g → µg/g,,unspecified,170
cov4648-M02,cov4648,mass,660,660,µg/g,summary,PE mean in PE group; converted mg/g → µg/g,,unspecified,60
cov4648-M03,cov4648,mass,330,330,µg/g,summary,PA mean in mixed group; converted mg/g → µg/g,,unspecified,90
cov4648-M04,cov4648,mass,420,420,µg/g,summary,PE mean in mixed group; converted mg/g → µg/g,,unspecified,10
cov4649-S01,cov4649,size,5.0,3000.0,µm,observed,Reported range,,,
cov4649-M01,cov4649,mass,0.66,0.66,µg/mL,estimated,Mean polymer mass estimated from size,,unspecified,0.87
cov4650-S01,cov4650,size,100.0,5000.0,µm,observed,Reported range,,,
cov4652-S01,cov4652,size,50.0,6000.0,µm,observed,Reported range,,,
cov2826-S01,cov2826,size,500,500,µm,operational,<500,left,,
cov2826-S02,cov2826,size,500,5000,µm,operational,Size bin,,,
cov3533-S01,cov3533,size,20,500,µm,operational,Clinical LDIR window,,,
cov4341-S01,cov4341,size,0.5,0.5,µm,reference,Nominal contact-experiment size,,,
cov4341-S02,cov4341,size,1,1,µm,reference,Nominal size,,,
cov4625-S01,cov4625,size,24.4,1387.0,µm,observed,Reported range,,,
cov4641-S01,cov4641,size,9.86,996.75,µm,observed,Zooplankton,,,
cov4641-S02,cov4641,size,350,44990,µm,observed,Seawater,,,
cov4647-S01,cov4647,size,3,2000,µm,reference,Plastic spikes in fish tissue,,,
cov4647-S02,cov4647,size,3,7000,µm,reference,All spike materials; includes non-plastics,,,
cov1388-S01,cov1388,size,8.21,953.0,µm,observed,Reported range,,,
